"referral_number","trigger_species","impact_type","pdf_url","date_processed"
"2026/10469","Regent Honeyeater","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/7ac8f641-5043-f111-88b4-7ced8d326e04/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10469%20Referral.pdf","2026-04-30"
"2026/10480","Eastern Curlew","Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/d03dc154-563c-f111-88b4-7c1e5262e9e4/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10480%20Referral.pdf","2026-04-30"
"2026/10481","Swift Parrot","Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/ddf44038-7f42-f111-88b4-7ced8d33d5fd/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10481%20Referral.pdf","2026-04-30"
"2026/10486","Forest Red-Tailed Black-Cockatoo, Baudin's Black-Cockatoo","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/025ca79a-6f43-f111-88b3-7ced8dd16664/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10486%20Referral.pdf","2026-04-30"
"2026/10493","Swift Parrot","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/f91af88d-8743-f111-88b3-7ced8dd16664/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10493%20Referral.pdf","2026-04-30"
"2026/10485","Carnaby's Black-Cockatoo, Forest Red-Tailed Black-Cockatoo","Direct","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/b0a3abb2-ff48-f111-bec6-7c1e5262eacb/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10485%20Referral.pdf","2026-05-06"
"2026/10501","Swift Parrot, Regent Honeyeater","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/1759b2df-d948-f111-bec6-7c1e5262e9e4/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10501%20Referral.pdf","2026-05-06"
"2026/10500","Eastern Curlew","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/6b079c2e-be49-f111-bec6-00224897bf4a/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10500%20Referral.pdf","2026-05-07"
"2026/10510","Swift Parrot, Australasian Bittern","Direct & Indirect, Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/4e95dd05-5e4e-f111-bec5-7ced8dd16664/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10510%20Referral.pdf","2026-05-13"
"2026/10497","Regent Honeyeater","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/cb82efd6-dd53-f111-bec7-7c1e5262eacb/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10497%20Referral.pdf","2026-05-19"
"2026/10505","Hooded Plover, Australasian Bittern, Eastern Curlew","Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/3e753970-b554-f111-bec7-002248989885/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10505%20Referral.pdf","2026-05-21"
"2026/10503","Swift Parrot, Regent Honeyeater","Direct","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/b08b2f42-db57-f111-bec7-7ced8d33dc82/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10503%20Referral.pdf","2026-05-25"
"2026/10525","Carnaby's Black-Cockatoo, Forest Red-Tailed Black-Cockatoo","Direct","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/3670f3ec-6259-f111-bec7-7ced8d326d41/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10525%20Referral.pdf","2026-05-28"
"2026/10532","Australasian Bittern, Eastern Curlew","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/ecd440b9-b75f-f111-a826-7ced8dd16664/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10532%20Referral.pdf","2026-06-04"
"2026/10526","Carnaby's Black-Cockatoo, Forest Red-Tailed Black-Cockatoo","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/5322d83c-d462-f111-a826-7ced8d33dc82/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10526%20Referral.pdf","2026-06-08"
"2026/10515","Carnaby's Black-Cockatoo, Forest Red-Tailed Black-Cockatoo","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/1c8efc1a-ab63-f111-a825-7c1e52631ca3/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10515%20Referral.pdf","2026-06-09"
"2026/10530","Australasian Bittern","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/b9d5e65c-a963-f111-a826-7ced8d326d41/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10530%20Referral.pdf","2026-06-09"
"2026/10534","Plains-Wanderer, Night Parrot","Direct","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/242b9c39-5265-f111-a826-7ced8dd16664/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10534%20Referral.pdf","2026-06-12"
"2026/10537","Red Goshawk","Direct","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/c54b5794-1f69-f111-ab0c-7ced8d33dc82/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10537%20Referral.pdf","2026-06-16"
"2026/10518","Swift Parrot","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/16d0a676-c16a-f111-a826-7c1e5262eacb/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10518%20Referral.pdf","2026-06-18"
"2026/10523","Red Goshawk","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/bc0c60b3-e46d-f111-ab0d-7ced8dd16664/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10523%20Referral.pdf","2026-06-22"
"2026/10551","Swift Parrot","Direct & Indirect","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/7aa75f06-dd6d-f111-ab0d-7ced8dd16664/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10551%20Referral.pdf","2026-06-22"
"2026/10538","Red Goshawk","Direct","https://epbcpublicportal.environment.gov.au/_entity/sharepointdocumentlocation/829777e4-a26e-f111-ab0d-00224897bf4a/2ab10dab-d681-4911-b881-cc99413f07b6?file=00-2026-10538%20Referral.pdf","2026-06-23"
